Year,Make,Model,Styling,Acceleration,Handling,Fun Factor,Cool Factor,Features,Comfort,Quality,Practicality,Value
2022,Ford,F-150 Lightning,5,7,3,6,6,8,7,7,9,7
2022,Audi,S8,6,8,6,5,5,8,8,8,5,6
2020,Audi,S8,6,8,6,5,5,8,8,8,5,6
2022,Hyundai,Ioniq 5 Limited,7,5,5,5,6,8,7,7,9,6
2022,BMW,i4 M50,6,8,6,6,5,8,7,7,6,6
2022,BMW,iX xDrive50,4,7,5,6,6,9,8,7,7,6
2022,Cadillac,CT4-V Blackwing,6,8,6,7,6,8,7,6,5,6
2017,Ford,F-150 Raptor,7,5,4,7,6,7,7,7,8,7
2021,BMW,M4 Competition,6,8,7,7,6,8,6,7,4,6
2021,Mercedes - Maybach,GLS600,6,6,4,4,6,9,9,9,7,5
2015,Mercedes - Benz,CLS63 Shooting Brake,7,7,6,6,7,6,6,7,7,6
2020,McLaren,620R,7,10,10,10,7,6,2,6,2,5
2021,Ford,Mustang Mach-E Premium,6,6,5,6,5,8,7,7,9,6
2021,Aston Martin,Vantage Roadster,8,8,8,8,7,6,6,7,2,5
2017,Mercedes-Maybach,S650 Cabriolet,7,7,5,5,6,8,9,8,4,6
2019,Jaguar,XE SV Project 8,6,9,7,8,6,6,6,7,5,5
2019,Maserati ,Levante Trofeo,6,8,6,6,5,8,6,6,8,6
2019,BMW,M2 Competition,6,8,8,8,6,6,5,7,4,7
2017,Nissan,GT-R Nismo,6,10,9,8,7,6,3,7,4,5
1988,Porsche,959,6,8,7,8,10,4,5,6,4,7
2013,Mercedes-Benz,SLS AMG Black Series,8,8,9,9,8,5,4,7,2,5
2012,Mercedes-Benz,SLS AMG,8,8,9,9,7,5,4,7,2,6
2016,Porsche,911R,7,8,9,9,8,6,4,9,2,3
2008,Mercedes-Benz,CLK63 AMG Black Series,9,7,8,9,7,4,4,6,3,8
2019,Chevrolet,Corvette ZR1,6,10,8,8,7,6,3,6,3,8
2017,Ford,Shelby GT350R,7,8,9,9,6,5,5,5,4,7
2018,Aston Martin,Vanquish S Volante,9,8,7,7,7,6,6,7,3,5
2018,Dodge,Challenger SRT Demon,6,10,5,7,8,5,7,6,4,7
2012,Mercedes-Benz,E63 AMG Wagon,6,7,6,6,6,6,6,7,8,7
2015,Rolls-Royce,Wraith,6,7,5,5,7,8,10,9,4,4
2022,Mercedes-Benz,EQS 450+,6,4,5,4,6,9,9,8,6,7
2021,Ford,F-150 Raptor,6,5,4,7,6,8,7,7,8,6
2013,Mercedes - Benz,SLS Roadster,7,8,8,9,7,5,4,7,2,7
2015,McLaren,P1 GTR,8,10,10,10,10,2,1,6,1,6
2016,Tesla,Model X,5,6,5,5,6,9,7,4,10,7
2018,Chevrolet,Camaro ZL1 1LE,7,8,8,7,6,6,5,6,4,7
2020,Dodge,Charger Hellcat Widebody,7,8,5,7,7,6,7,6,5,6
2020,Ford,Shelby GT500,7,9,8,8,6,6,5,5,3,7
2020,BMW,750i,6,8,5,5,5,8,8,8,5,6
2007,Ferrari,F430 Spider,8,8,8,8,7,4,4,7,2,8
2018,BMW,M3 CS,6,8,7,7,6,6,6,7,5,6
2003,Aston Martin,Vanquish,10,7,6,8,7,4,5,6,3,8
2007,Porsche,911 Turbo,7,8,7,8,6,4,6,8,3,7
2011,BMW,1 Series M,6,6,8,9,7,5,6,6,4,7
2017,Bentley,Mulsanne Speed,6,5,5,5,7,7,10,9,5,5
2012,Lexus,LFA,6,8,8,8,9,5,5,9,2,4
2017,Ferrari,GTC4Lusso,5,9,7,7,7,6,6,8,5,4
2017,Bentley,Continental SuperSports,6,9,7,6,6,5,8,8,4,5
2018,Audi,RS3,7,8,6,7,5,6,6,7,5,7
2018,Lexus,LS 500h,6,5,5,4,5,9,9,10,5,6
2017,Mercedes-Benz,Maybach S600,6,6,5,5,5,8,10,8,5,6
2017,BMW,M2,6,7,7,8,6,6,6,7,4,7
2020,Land Rover,Defender P400,6,5,4,6,6,8,7,6,9,7
2019,Mercedes-Benz,G550,7,4,4,5,6,8,8,7,9,6
2020,Chevrolet ,Corvette C8,6,10,8,8,6,7,4,6,2,7
2022,Kia,EV6 GT-Line,6,5,5,5,5,8,7,7,9,6
2021,Mercedes - Benz,E450 AT Wagon,6,6,5,4,4,9,8,8,8,5
2020,Volvo,V60 Polestar,7,7,5,4,5,8,7,7,8,5
2021,Jaguar,F-Type R,7,9,7,7,6,6,6,7,2,6
2003,Porsche,996 GT2,7,8,8,9,7,3,4,7,3,7
2006,Lamborghini,Murcielago Roadster,8,8,7,9,9,4,3,6,2,7
2018,Range Rover,Velar R-Dynamic,7,4,6,6,5,8,7,6,8,6
2019,Mercedes-Benz,CLS450,7,6,6,6,5,8,7,7,5,6
2018,Volkswagen,Golf R,6,6,6,6,5,6,6,7,8,7
2017,Aston Martin,V12 Vantage S,8,8,7,8,7,5,5,7,3,5
2017,Alfa Romeo,Giulia Quadrifoglio,7,8,6,7,6,6,6,6,5,6
2008,Lamborghini,Murcielago LP640,8,9,7,9,9,4,3,6,2,6
2017,Ford,Focus RS,6,7,6,7,6,6,5,6,7,7
2009,Ferrari,430 Scuderia,8,9,9,9,8,2,2,7,2,7
2006,Mercedes-Benz,SLR,7,9,6,8,9,4,6,6,3,5
2017,Chevrolet,Camaro ZL1,6,9,7,7,6,6,5,6,4,7
2023,Nissan,Z,7,8,7,7,6,6,5,6,3,7
2021,Toyota,Supra 3.0,6,8,7,6,6,7,5,7,3,7
2004,Rolls-Royce,Phantom,6,4,4,6,7,7,10,8,5,5
2022,Jeep,Wrangler 392,6,7,4,9,6,6,5,6,7,6
2021,Polestar,2,7,6,5,5,5,9,7,8,5,5
2015,BAC,Mono,7,10,10,10,9,1,1,7,1,6
2020,Lotus,Evora GT,7,8,8,7,7,5,5,7,3,5
2020,Lincoln,Aviator BL,7,4,4,4,5,8,7,8,9,6
2020,BMW,M340i,6,7,6,5,4,8,7,7,5,7
2013,Rolls-Royce,Phantom Drophead Coupe,6,4,5,6,7,7,10,8,4,5
2019,Audi,Q8,7,4,5,5,5,9,7,7,8,5
2011,Porsche,911 GT3RS 4.0,7,8,8,9,8,3,3,8,2,6
2019,BMW,i8 Roadster,7,7,7,6,7,7,6,7,2,6
2019,Audi,A8L,6,4,5,4,5,9,9,8,5,7
2019,Lexus,RC-F,6,7,6,6,5,7,7,9,4,5
2009,Mercedes-Benz,SL65 AMG Black Series,8,8,7,8,8,4,4,6,3,6
1999,Nissan,Skyline GT-R (R34),6,7,7,8,9,4,5,6,4,6
2017,Chevrolet,Corvette Z06,6,9,8,7,6,6,3,6,3,8
2018,Kia,Stinger GT,7,6,6,5,4,6,7,6,7,8
2022,BMW,M240i,6,8,6,6,5,7,6,7,4,6
2022,Volkswagen,Golf R,6,6,6,7,5,6,6,6,7,6
2022,Jeep,Grand Wagoneer,5,4,4,3,5,9,8,8,9,6
2006,Ferrari,612 Scaglietti,5,7,7,7,7,4,5,7,4,8
2019,BMW,X7,6,4,4,3,4,9,8,8,9,6
2021,Genesis,G80 3.5T,7,6,5,4,4,8,8,8,5,6
2019,BMW,X5,6,5,5,5,4,8,7,7,8,6
2019,Audi,E-Tron,6,4,4,5,5,9,7,7,8,6
2018,Land Rover,Range Rover Supercharged,7,6,4,3,5,8,8,6,9,5
2019,Porsche,Macan S,5,5,6,6,5,7,7,7,7,6
2011,Ferrari,California,6,8,7,8,6,4,5,7,3,7
2019,Lotus,Evora 400,7,7,8,7,7,5,5,7,3,5
2020,Mercedes-Benz,GLE450,5,5,5,4,4,9,7,7,9,6
2013,Ford,Raptor,7,4,3,6,6,5,6,6,8,10
2005,Bentley,Continental GT,7,6,6,6,6,4,8,7,4,7
2018,Ford,Mustang GT,6,8,7,7,5,6,5,6,4,7
2001,Lamborghini,Diablo 6.0,9,9,7,8,9,3,3,4,2,7
2000,BMW,Z8,10,7,6,7,7,3,5,7,2,7
2002,BMW,M5,8,6,6,6,6,4,6,7,5,7
2017,Chevrolet,SS,6,6,6,6,5,6,6,6,5,9
2020,Toyota,Supra,6,7,7,6,6,7,5,7,3,6
2021,BMW,M440i,5,7,6,6,5,7,7,7,4,6
2022,Lexus,IS 500,5,7,5,5,5,7,7,8,5,6
2021,Genesis,GV70,6,6,4,4,4,8,7,7,7,7
2019,Genesis,G70 3.3T,5,7,6,5,4,7,7,7,5,7
1995,Ferrari,F50,7,8,9,10,10,2,2,5,1,6
2002,Porsche,911 Turbo (996),6,8,7,7,6,4,5,6,3,8
2011,Aston Martin,Rapide,8,6,6,6,6,5,6,6,5,6
2020,McLaren,570S GT4 Race Car,7,9,10,10,8,3,2,5,1,5
2012,Porsche,Panamera V6,4,5,6,5,6,6,7,8,5,8
2020,Lexus,GS-F,6,7,5,6,5,7,7,8,5,4
2020,Genesis,G90 Ultimate,6,5,5,4,4,8,8,8,5,7
2020,Mercedes-Benz,GLS450,6,4,4,3,4,9,8,7,9,6
2018,Cadillac,CT6,6,4,5,4,4,9,8,8,5,7
2000,BMW ,M5 (E39),7,6,6,6,7,4,6,7,5,6
2011,Porsche,997 911 Speedster,7,7,7,7,7,4,6,8,2,5
1990,Ferrari,F40,10,8,9,10,10,1,1,3,1,7
2022,Chevrolet,Silverado ZR2,5,4,3,6,5,8,7,8,8,5
2022,Toyota,Tundra TRD Pro,6,3,2,6,6,7,7,8,8,6
2021,Cadillac,Escalade Platinum,5,3,3,3,6,9,8,7,9,6
2018,Lincoln,Navigator L Black Label,6,3,3,3,5,8,8,8,9,6
2021,Acura,TLX Type S,6,7,5,4,4,8,7,7,5,6
2014,BMW,M6,6,8,5,6,5,6,6,6,4,7
2021,Audi,SQ5,6,6,5,4,4,7,7,7,7,6
2021,Audi,E-Tron Sportback,6,4,4,5,5,9,7,7,7,5
2020,Audi,Q7 3.0T,6,4,4,3,4,9,7,7,9,6
2015,Mercedes-Benz,G63 AMG 6x6,7,3,3,8,10,6,6,7,5,4
2017,Tesla,Model 3,5,5,5,4,5,9,7,6,6,7
2017,Honda,Civic Type R,4,6,6,7,6,6,6,6,7,5
2004,Mercedes-Benz,CLK DTM,7,8,8,8,7,3,3,7,3,5
1996,BMW,850CSi,8,4,5,7,7,4,7,6,4,7
2017,Genesis,G90,5,5,5,4,4,8,8,8,5,7
2021,Ford,Bronco,6,1,4,8,7,6,5,6,8,7
2010,Jeep,Grand Cherokee SRT8,5,6,5,7,6,4,5,4,8,8
1993,Bugatti,EB110,7,9,7,8,10,2,2,4,1,8
2021,Genesis,GV80,7,3,4,3,4,7,7,8,8,7
2019,Lincoln,Continental Coach Door,6,5,4,4,5,8,8,8,5,5
2018,Audi,Q7 3.0 T,6,4,4,3,4,8,7,7,9,6
2004,Mercedes,E55 AMG,6,7,5,5,6,4,6,7,5,7
2019,Volvo,S60 Polestar,6,7,5,4,4,8,7,7,5,5
2008,Maserati ,GranTurismo MC,6,6,7,7,6,4,6,6,4,6
2002,Bentley,Arnage T,6,5,4,5,6,4,9,7,5,7
2019,BMW,330i (G20),6,4,5,5,4,8,7,7,5,7
2019,Kia,K900,5,4,5,4,4,8,8,8,5,7
2018,Mercedes-Benz,SL450,6,6,6,6,5,8,7,7,3,4
2018,Lincoln,Continental,6,5,4,4,4,8,8,8,5,6
2003,Porsche,911 Carrera 4S,6,6,7,7,5,4,5,5,3,10
1993,Lancia,Delta Integrale Evo 2,7,5,7,7,8,3,5,4,6,6
2019,Hyundai,Veloster N,6,4,6,6,5,6,6,6,6,7
2022,Lexus,LX 600,5,2,3,4,4,8,8,9,9,5
2022,Volkswagen,GTI,6,3,6,6,5,6,6,6,7,6
2007,Mercedes-Benz,R63 AMG,4,6,5,4,6,5,7,6,9,5
2013,Toyota,Land Cruiser,6,2,3,5,5,6,7,8,9,6
2022,Subaru,WRX,5,4,7,6,5,6,6,6,5,7
1994,Audi,RS2 Avant,7,6,5,5,7,3,5,5,7,7
2020,Jeep,Gladiator Mojave,6,1,3,8,6,6,5,6,8,8
2016,Mercedes-Benz,CLA45,6,6,6,6,5,5,5,7,5,6
2018,Subaru,WRX STI Type RA,6,4,7,6,6,6,6,6,5,5
1990,Vector,W8,10,7,6,8,10,2,3,3,1,7
2013,BMW,M3 E92 Competition,6,7,6,7,5,5,5,5,4,7
2003,Audi,RS6,7,7,6,6,6,4,6,4,5,6
2016,Ariel,Atom 3,6,10,10,8,8,1,1,6,1,6
1994,Jaguar,XJ220,7,8,6,8,10,2,3,4,2,7
2002,Chevrolet,Corvette Z06 C5,5,8,7,7,6,3,3,6,2,10
2018,Toyota,Land Cruiser,5,2,3,5,5,7,7,8,9,6
1994,Toyota,Supra Turbo,8,6,6,6,7,2,5,7,3,7
2019,Volvo,XC40 T5,7,3,4,3,4,8,7,7,7,7
2012,Mercedes-Benz,C63 AMG Black Series,6,8,7,7,6,5,4,5,3,6
2005,Spyker,C8 Spyder,7,7,6,7,7,3,3,8,2,7
2017,Maserati,Levante,5,4,6,6,5,6,7,6,8,4
2015,Alfa Romeo,4C Spider,6,7,8,8,6,4,3,6,2,6
2009,Porsche,Cayenne GTS 6M,6,3,5,6,5,5,6,6,8,6
2022,Hyundai,Elantra N,6,5,6,6,4,6,6,6,5,6
2022,Toyota,GR86,6,4,8,7,5,5,5,6,3,7
2022,Toyota,Land Cruiser V6 TT,6,3,3,5,5,5,7,8,8,6
2022,Subaru,BRZ Limited,6,4,8,7,5,5,5,6,3,7
2020,Ford,Explorer ST,5,5,4,3,3,7,7,7,9,6
2021,Jeep,Grand Cherokee L V8,6,2,3,3,4,8,7,7,9,7
2020,Jeep,Gladiator,6,1,3,8,6,6,5,6,8,7
2012,Jaguar,XKR-S,7,7,6,6,6,4,5,6,3,6
2008,Tesla,Roadster,7,8,6,7,7,3,3,5,2,8
2008,Audi,S6 V10,6,6,5,5,6,5,6,6,5,6
2013,Ford,Focus ST,6,3,6,6,5,5,5,5,7,8
2006,Maybach,62,4,5,3,4,7,7,8,7,5,6
1994,Honda,NSX,7,4,8,8,7,2,4,7,2,7
2002,Aston Martin,DB7 V12 Volante,7,6,6,6,7,3,5,6,3,7
2020,Cadillac,CT5-V,5,6,5,5,4,7,7,6,5,6
2021,Mini,Cooper JCW GP,5,6,6,6,6,6,5,7,4,5
2017,Land Rover,Range Rover Limo,6,1,3,4,6,8,9,6,8,5
1997,Lamborghini,Diablo VT Roadster,9,7,6,8,9,2,3,3,2,7
2019,Volkswagen,Arteon,7,4,4,3,4,8,7,7,7,5
2019,BMW,Z4 sDrive30i,7,5,6,6,5,7,5,7,2,6
2002,Acura,NSX,7,6,8,8,7,2,3,7,2,6
1998,Ferrari,F355,10,6,7,8,8,2,4,3,2,6
2018,Jeep,Wrangler Unlimited,6,2,4,8,5,5,5,6,8,7
2006,Jaguar,XJ Super V8,6,5,4,5,5,5,8,6,5,6
2008,Honda,S2000 CR,7,4,8,8,6,3,4,7,2,6
2004,Honda,S2000,7,4,8,8,5,3,4,7,2,7
2021,Ford ,Bronco Sport,6,3,3,4,6,7,6,6,7,7
2021,Lexus,IS350 F-Sport,5,4,5,4,4,7,7,8,5,6
2014,Mitsubishi,Evolution X,6,6,6,6,5,4,5,5,5,7
2004,Maserati,Coupe (6-Speed),7,5,6,6,6,3,6,5,4,7
2018,Infiniti,Q50 Red Sport 400,5,7,5,5,3,6,7,6,5,6
2017,Nissan,370Z Nismo,6,5,7,6,6,5,5,7,3,5
2010,Lexus,LS 600hL,4,4,3,3,4,6,9,9,5,8
2018,Mercedes-Benz,AMG GLE63 Coupe,4,7,5,6,3,6,6,6,7,5
2019,Mazda,MX-5 Miata RF,7,4,8,7,5,5,5,6,2,6
2015,Fiat,500 Abarth,7,2,6,8,5,4,4,5,4,10
1963,Ferrari,250 GT Lusso,10,1,4,6,9,1,6,8,3,7
2017,Volvo,XC90 Excellence,7,4,4,3,4,8,8,8,6,3
1996,BMW ,M3 Coupe (Euro),6,5,6,6,6,3,5,6,4,7
2023,Subaru,Solterra Touring,5,2,3,3,4,8,6,7,9,7
2004,Ford,Mustang Cobra Convertible,6,6,5,7,6,3,5,5,4,7
2019,Lexus ,LX570,3,2,3,4,4,7,8,9,9,5
1954,Mercedes-Benz,300SL Gullwing,10,1,5,6,10,1,5,7,2,7
2007,Mercedes-Benz,SLK55 AMG,6,7,6,6,5,4,5,6,2,7
1998,Subaru,Impreza 22B,6,6,6,6,8,2,5,5,4,6
2009,Bentley,Brooklands,6,5,4,5,6,4,9,6,4,5
2020,Lincoln,Corsair,6,3,4,2,3,8,7,7,7,7
2017,Jaguar,F-Pace S,6,5,5,3,4,6,7,6,7,5
2004,Subaru,Impreza WRX STI,6,5,6,6,6,3,5,5,5,7
2004,BMW,M3 Coupe (E46),7,6,6,6,5,3,6,5,4,6
2002,Mercedes-Benz,SL500,7,4,5,5,5,4,6,8,3,7
2012,Hyundai,Equus Ultimate,5,4,3,3,3,6,8,7,5,10
2020,Land Rover,Range Rover Evoque,7,2,4,2,4,8,7,6,7,7
1997,Porsche,911 Carrera RS (993),6,6,7,8,7,2,3,7,2,6
1994,Porsche,928 GTS,7,5,6,6,6,3,6,5,4,6
1999,Mitsubishi,3000GT VR-4,6,6,6,6,6,3,5,5,4,7
2017,Mercedes-Benz,G65 AMG,7,5,2,6,6,6,6,5,9,2
2004,Volkswagen,Phaeton W12,5,4,4,4,6,5,8,6,5,7
2006,BMW,M5 (E60),6,7,6,6,6,4,5,3,5,6
2004,Nissan,350Z Roadster,6,5,6,6,6,3,5,7,2,7
2006,Mazda,RX-8 Shinka,6,4,7,6,6,3,5,4,5,7
2020,Toyota,Avalon TRD,5,3,4,4,4,7,7,8,5,6
2020,Mercedes-Benz,GLC300,5,3,4,2,3,8,7,7,7,7
2019,Mercedes-Benz,Modified Sprinter Van,2,1,2,5,5,8,9,7,9,5
2001,BMW,750iL,9,2,5,4,5,4,7,6,5,6
2018,Toyota,4Runner TRD Pro,6,1,3,6,5,4,6,7,9,6
